time,omega_x,omega_y,omega_z,torque_x,torque_y,torque_z
0.01,0.0,0.0,0.0,1.0,-0.8002328763488078,0.32165808674546764
0.02,0.01,-0.008002328763488078,0.0032165808674546764,1.0,-0.8706079078136628,0.2783662027402349
0.03,0.02,-0.016708407841624705,0.006000242894857025,1.0,-0.7706297317502423,0.286600264204127
0.04,0.03,-0.02441470515912713,0.008866245536898295,1.0,-0.6770315882120228,0.4206184134450766
0.05,0.04,-0.03118502104124736,0.013072429671349061,1.0,-0.797632449211611,0.5920882942775438
0.06,0.05,-0.03916134553336347,0.0189933126141245,1.0,-0.9117347434867424,0.2595288535869784
0.07,0.060000000000000005,-0.048278692968230896,0.021588601149994283,1.0,-0.9458917926118662,-0.07491624423586196
0.08,0.07,-0.05773761089434956,0.020839438707635664,1.0,-1.0,-0.1604855923860503
0.09,0.08,-0.06773761089434956,0.01923458278377516,1.0,-1.0,0.20823888786328584
0.1,0.09,-0.07773761089434955,0.021316971662408018,1.0,-1.0,0.12048334836535397
0.11,0.09999999999999999,-0.08773761089434955,0.022521805146061558,1.0,-1.0,0.2718361807113152
0.12,0.10999999999999999,-0.09773761089434954,0.02524016695317471,1.0,-1.0,0.6735842819806173
0.13,0.11999999999999998,-0.10773761089434954,0.03197600977298089,1.0,-1.0,0.4451109329471194
0.14,0.12999999999999998,-0.11773761089434953,0.03642711910245208,1.0,-1.0,0.5099917704023347
0.15,0.13999999999999999,-0.12773761089434954,0.04152703680647543,1.0,-1.0,0.532139604209056
0.16,0.15,-0.13773761089434955,0.04684843284856599,1.0,-1.0,0.54440676066983
0.17,0.16,-0.14773761089434956,0.05229250045526429,1.0,-1.0,0.37332412459807224
0.18,0.17,-0.15773761089434957,0.05602574170124501,1.0,-1.0,0.6035513378203288
0.19,0.18000000000000002,-0.16773761089434958,0.0620612550794483,1.0,-1.0,0.5151899463149443
0.2,0.19000000000000003,-0.17773761089434958,0.06721315454259774,1.0,-1.0,0.5173922257208141
0.21,0.20000000000000004,-0.1877376108943496,0.07238707679980588,1.0,-1.0,0.5392511240353791
0.22,0.21000000000000005,-0.1977376108943496,0.07777958804015968,1.0,-1.0,0.5581720918824221
0.23,0.22000000000000006,-0.2077376108943496,0.0833613089589839,1.0,-1.0,0.5588891699571389
0.24,0.23000000000000007,-0.21773761089434962,0.08895020065855529,1.0,-1.0,0.7460217848377951
0.25,0.24000000000000007,-0.22773761089434963,0.09641041850693324,1.0,-1.0,1.0
0.26,0.25000000000000006,-0.23773761089434964,0.10641041850693324,1.0,-1.0,1.0
0.27,0.26000000000000006,-0.24773761089434965,0.11641041850693323,1.0,-1.0,1.0
